Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,November 2014,$191K,-0.2%,6.2%,"42,630",-25.9%,-4.2%,"48,276",-27.3%,-0.5%,"209,743",-4.7%,1.4%,58,0,-1,96.9%,-0.1%,-0.4%
,December 2014,$193K,1.0%,3.2%,"50,781",19.1%,7.5%,"39,174",-18.9%,4.1%,"191,862",-8.5%,0.6%,62,5,-1,96.7%,-0.2%,-0.2%
,January 2015,$189K,-1.9%,9.2%,"36,674",-27.8%,0.1%,"64,529",64.7%,5.5%,"198,046",3.2%,0.2%,70,8,-3,96.5%,-0.2%,-0.1%
,February 2015,$183K,-3.0%,4.9%,"39,626",8.1%,4.0%,"64,988",0.7%,4.2%,"202,396",2.2%,-1.0%,67,-3,-5,96.8%,0.3%,-0.1%
,March 2015,$196K,7.1%,6.5%,"53,997",36.3%,12.9%,"84,503",30.0%,7.9%,"209,955",3.7%,-2.0%,58,-9,-5,97.2%,0.4%,0.1%
,April 2015,$199K,1.1%,5.0%,"59,836",10.8%,7.3%,"88,500",4.7%,8.1%,"217,961",3.8%,0.3%,49,-9,-5,97.4%,0.3%,0.2%
,May 2015,$204K,2.5%,6.0%,"64,319",7.5%,4.8%,"83,614",-5.5%,2.9%,"221,422",1.6%,0.7%,47,-2,-2,97.6%,0.2%,0.1%
,June 2015,$206K,1.2%,5.3%,"71,896",11.8%,12.9%,"82,477",-1.4%,7.7%,"220,637",-0.4%,-1.0%,44,-3,-4,97.8%,0.2%,0.4%
,July 2015,$208K,1.0%,8.6%,"70,998",-1.2%,13.7%,"77,552",-6.0%,5.6%,"216,991",-1.7%,-4.2%,45,1,-3,97.8%,0.0%,0.4%
,August 2015,$208K,0.2%,7.3%,"63,900",-10.0%,8.6%,"71,178",-8.2%,5.4%,"211,886",-2.4%,-5.2%,46,2,-4,97.7%,-0.1%,0.5%
,September 2015,$200K,-3.9%,5.5%,"60,292",-5.6%,8.4%,"70,119",-1.5%,2.4%,"210,382",-0.7%,-6.0%,49,2,-7,97.4%,-0.3%,0.4%
,October 2015,$200K,0.1%,4.8%,"56,518",-6.3%,-1.8%,"65,441",-6.7%,-1.5%,"203,732",-3.2%,-7.4%,50,1,-8,97.4%,0.0%,0.4%
,November 2015,$202K,1.0%,6.0%,"45,109",-20.2%,5.8%,"51,203",-21.8%,6.1%,"192,478",-5.5%,-8.2%,52,2,-6,97.2%,-0.2%,0.4%
,December 2015,$206K,1.8%,6.9%,"54,357",20.5%,7.0%,"39,837",-22.2%,1.7%,"174,130",-9.5%,-9.2%,55,3,-7,97.2%,0.0%,0.5%
,January 2016,$200K,-2.7%,6.0%,"39,631",-27.1%,8.1%,"62,988",58.1%,-2.4%,"179,128",2.9%,-9.6%,62,7,-8,97.0%,-0.2%,0.5%
,February 2016,$200K,-0.4%,8.9%,"42,134",6.3%,6.3%,"72,455",15.0%,11.5%,"187,734",4.8%,-7.2%,60,-2,-7,97.2%,0.2%,0.4%
,March 2016,$210K,5.3%,7.0%,"56,183",33.3%,4.0%,"85,502",18.0%,1.2%,"195,037",3.9%,-7.1%,49,-11,-9,97.7%,0.5%,0.5%
,April 2016,$214K,1.6%,7.6%,"62,627",11.5%,4.7%,"85,836",0.4%,-3.0%,"200,055",2.6%,-8.2%,43,-6,-5,97.9%,0.2%,0.4%
,May 2016,$217K,1.4%,6.4%,"67,762",8.2%,5.4%,"82,534",-3.8%,-1.3%,"200,395",0.2%,-9.5%,41,-3,-6,98.0%,0.1%,0.4%
,June 2016,$223K,2.8%,8.1%,"74,462",9.9%,3.6%,"80,961",-1.9%,-1.8%,"198,897",-0.7%,-9.9%,40,-1,-4,98.1%,0.1%,0.3%
,July 2016,$223K,0.0%,7.1%,"65,151",-12.5%,-8.2%,"74,723",-7.7%,-3.6%,"199,056",0.1%,-8.3%,40,-1,-5,98.0%,-0.1%,0.2%
,August 2016,$224K,0.7%,7.7%,"69,318",6.4%,8.5%,"72,991",-2.3%,2.5%,"192,836",-3.1%,-9.0%,42,2,-5,97.9%,-0.2%,0.2%
,September 2016,$224K,-0.2%,11.9%,"63,572",-8.3%,5.4%,"71,946",-1.4%,2.6%,"192,626",-0.1%,-8.4%,44,3,-4,97.8%,-0.1%,0.3%
,October 2016,$222K,-0.6%,11.1%,"55,937",-12.0%,-1.0%,"60,728",-15.6%,-7.2%,"183,702",-4.6%,-9.8%,46,1,-4,97.7%,-0.1%,0.3%
,November 2016,$234K,5.0%,15.5%,"53,544",-4.3%,18.7%,"51,672",-14.9%,0.9%,"172,002",-6.4%,-10.6%,47,1,-5,97.7%,0.0%,0.4%
,December 2016,$223K,-4.4%,8.4%,"54,204",1.2%,-0.3%,"38,842",-24.8%,-2.5%,"153,303",-10.9%,-12.0%,51,4,-4,97.4%,-0.3%,0.2%
,January 2017,$219K,-1.9%,9.3%,"42,603",-21.4%,7.5%,"64,721",66.6%,2.8%,"157,415",2.7%,-12.1%,55,4,-7,97.4%,0.0%,0.4%
,February 2017,$218K,-0.3%,9.4%,"44,468",4.4%,5.5%,"68,840",6.4%,-5.0%,"162,487",3.2%,-13.4%,50,-5,-10,97.6%,0.2%,0.4%
,March 2017,$228K,4.5%,8.6%,"63,820",43.5%,13.6%,"86,400",25.5%,1.0%,"167,700",3.2%,-14.0%,42,-8,-7,98.0%,0.4%,0.3%
,April 2017,$229K,0.2%,7.1%,"61,525",-3.6%,-1.8%,"81,055",-6.2%,-5.6%,"171,579",2.3%,-14.2%,37,-5,-6,98.2%,0.2%,0.3%
,May 2017,$231K,1.2%,6.9%,"72,867",18.4%,7.5%,"86,012",6.1%,4.2%,"173,347",1.0%,-13.5%,34,-3,-7,98.5%,0.3%,0.5%
,June 2017,$236K,1.8%,5.8%,"77,865",6.9%,4.6%,"84,685",-1.5%,4.6%,"175,274",1.1%,-11.9%,35,1,-6,98.6%,0.1%,0.4%
,July 2017,$236K,0.2%,6.0%,"65,714",-15.6%,0.9%,"73,929",-12.7%,-1.1%,"173,828",-0.8%,-12.7%,34,-1,-6,98.5%,-0.1%,0.4%
,August 2017,$234K,-1.1%,4.1%,"70,691",7.6%,2.0%,"75,180",1.7%,3.0%,"170,528",-1.9%,-11.6%,37,3,-5,98.4%,-0.1%,0.5%
,September 2017,$236K,1.1%,5.5%,"60,571",-14.3%,-4.7%,"68,512",-8.9%,-4.8%,"170,991",0.3%,-11.2%,38,1,-7,98.2%,-0.2%,0.4%
,October 2017,$243K,2.7%,9.1%,"60,337",-0.4%,7.9%,"67,106",-2.1%,10.5%,"166,494",-2.6%,-9.4%,38,1,-8,98.2%,0.0%,0.5%
,November 2017,$244K,0.5%,4.4%,"56,152",-6.9%,4.9%,"54,326",-19.0%,5.1%,"155,640",-6.5%,-9.5%,41,2,-6,98.1%,-0.1%,0.4%
,December 2017,$244K,0.0%,9.2%,"54,292",-3.3%,0.2%,"37,772",-30.5%,-2.8%,"138,015",-11.3%,-10.0%,45,4,-6,97.9%,-0.2%,0.5%
,January 2018,$235K,-3.7%,7.2%,"42,478",-21.8%,-0.3%,"64,740",71.4%,0.0%,"142,696",3.4%,-9.4%,48,3,-7,97.8%,-0.1%,0.4%
,February 2018,$237K,0.8%,8.4%,"44,608",5.0%,0.3%,"70,186",8.4%,2.0%,"150,605",5.5%,-7.3%,44,-4,-6,98.1%,0.3%,0.5%
,March 2018,$244K,2.9%,6.7%,"61,936",38.8%,-3.0%,"84,031",19.7%,-2.7%,"156,207",3.7%,-6.9%,35,-9,-7,98.5%,0.4%,0.5%
,April 2018,$244K,0.1%,6.6%,"65,211",5.3%,6.0%,"88,811",5.7%,9.6%,"163,314",4.5%,-4.8%,32,-4,-6,98.7%,0.2%,0.4%
,May 2018,$243K,-0.4%,4.8%,"72,953",11.9%,0.1%,"89,751",1.1%,4.3%,"169,343",3.7%,-2.3%,29,-2,-5,98.7%,0.1%,0.3%
,June 2018,$246K,1.3%,4.3%,"74,914",2.7%,-3.8%,"83,996",-6.4%,-0.8%,"173,098",2.2%,-1.2%,30,0,-5,98.7%,-0.1%,0.1%
,July 2018,$246K,0.0%,4.1%,"69,123",-7.7%,5.2%,"78,959",-6.0%,6.8%,"174,179",0.6%,0.2%,31,1,-3,98.6%,-0.1%,0.1%
,August 2018,$242K,-1.7%,3.4%,"71,249",3.1%,0.8%,"78,722",-0.3%,4.7%,"176,746",1.5%,3.6%,33,2,-4,98.3%,-0.3%,-0.1%
,September 2018,$242K,0.0%,2.3%,"54,387",-23.7%,-10.2%,"71,079",-9.7%,3.7%,"184,279",4.3%,7.8%,36,3,-2,98.1%,-0.2%,-0.1%
,October 2018,$242K,0.0%,-0.4%,"59,701",9.8%,-1.1%,"69,935",-1.6%,4.2%,"183,881",-0.2%,10.4%,38,3,0,98.0%,-0.1%,-0.2%
,November 2018,$244K,1.1%,0.2%,"51,910",-13.1%,-7.6%,"54,105",-22.6%,-0.4%,"175,964",-4.3%,13.1%,42,3,1,97.7%,-0.2%,-0.3%
,December 2018,$241K,-1.4%,-1.2%,"47,078",-9.3%,-13.3%,"37,141",-31.4%,-1.7%,"159,081",-9.6%,15.3%,46,5,1,97.6%,-0.1%,-0.3%
,January 2019,$239K,-0.6%,2.0%,"38,039",-19.2%,-10.4%,"67,435",81.6%,4.2%,"167,327",5.2%,17.3%,54,8,6,97.3%,-0.3%,-0.4%
,February 2019,$241K,0.5%,1.7%,"42,636",12.1%,-4.4%,"66,739",-1.0%,-4.9%,"173,579",3.7%,15.3%,52,-3,8,97.5%,0.1%,-0.7%
,March 2019,$249K,3.5%,2.3%,"55,116",29.3%,-11.0%,"82,210",23.2%,-2.2%,"180,288",3.9%,15.4%,45,-7,10,97.9%,0.4%,-0.6%
,April 2019,$250K,0.4%,2.6%,"64,198",16.5%,-1.6%,"87,390",6.3%,-1.6%,"185,376",2.8%,13.5%,39,-6,7,98.1%,0.2%,-0.6%
,May 2019,$255K,1.9%,4.9%,"72,647",13.2%,-0.4%,"88,170",0.9%,-1.8%,"190,487",2.8%,12.5%,36,-2,7,98.3%,0.2%,-0.5%
,June 2019,$255K,0.3%,3.9%,"66,321",-8.7%,-11.5%,"76,947",-12.7%,-8.4%,"191,590",0.6%,10.7%,35,-1,6,98.2%,-0.1%,-0.5%
,July 2019,$248K,-2.8%,1.0%,"66,460",0.2%,-3.9%,"74,882",-2.7%,-5.2%,"188,266",-1.7%,8.1%,39,3,8,98.2%,0.0%,-0.4%
,August 2019,$252K,1.3%,4.2%,"65,961",-0.8%,-7.4%,"72,466",-3.2%,-7.9%,"185,550",-1.4%,5.0%,40,2,7,98.0%,-0.1%,-0.2%
,September 2019,$249K,-1.1%,3.0%,"56,067",-15.0%,3.1%,"70,985",-2.0%,-0.1%,"187,912",1.3%,2.0%,42,2,6,97.9%,-0.2%,-0.2%
,October 2019,$252K,1.1%,4.1%,"57,810",3.1%,-3.2%,"68,284",-3.8%,-2.4%,"185,258",-1.4%,0.7%,43,1,5,97.8%,0.0%,-0.1%
,November 2019,$255K,1.4%,4.4%,"50,005",-13.5%,-3.7%,"49,427",-27.6%,-8.6%,"171,799",-7.3%,-2.4%,44,1,3,97.8%,-0.1%,0.0%
,December 2019,$262K,2.5%,8.6%,"54,005",8.0%,14.7%,"35,621",-27.9%,-4.1%,"150,243",-12.5%,-5.6%,50,6,4,97.6%,-0.1%,0.0%
,January 2020,$261K,-0.3%,8.9%,"42,124",-22.0%,10.7%,"66,707",87.3%,-1.1%,"155,294",3.4%,-7.2%,58,7,4,97.5%,-0.2%,0.2%
,February 2020,$260K,-0.5%,7.8%,"46,882",11.3%,10.0%,"70,432",5.6%,5.5%,"160,056",3.1%,-7.8%,51,-6,0,97.9%,0.4%,0.4%
,March 2020,$271K,4.5%,8.9%,"56,634",20.8%,2.8%,"72,469",2.9%,-11.8%,"166,961",4.3%,-7.4%,41,-10,-4,98.3%,0.4%,0.4%
,April 2020,$262K,-3.4%,4.8%,"42,948",-24.2%,-33.1%,"46,835",-35.4%,-46.4%,"167,006",0.0%,-9.9%,35,-6,-4,98.3%,0.0%,0.2%
,May 2020,$251K,-4.3%,-1.6%,"37,757",-12.1%,-48.0%,"70,511",50.6%,-20.0%,"175,067",4.8%,-8.1%,41,6,4,97.8%,-0.5%,-0.5%
,June 2020,$253K,0.8%,-1.0%,"55,703",47.5%,-16.0%,"83,758",18.8%,8.9%,"178,439",1.9%,-6.9%,43,2,7,97.9%,0.1%,-0.3%
,July 2020,$262K,3.7%,5.5%,"70,859",27.2%,6.6%,"92,542",10.5%,23.6%,"184,514",3.4%,-2.0%,39,-4,0,98.3%,0.4%,0.1%
,August 2020,$267K,1.7%,6.0%,"70,090",-1.1%,6.3%,"87,348",-5.6%,20.5%,"187,271",1.5%,0.9%,37,-2,-3,98.3%,0.1%,0.3%
,September 2020,$272K,1.9%,9.1%,"71,129",1.5%,26.9%,"87,729",0.4%,23.6%,"190,358",1.6%,1.3%,36,-1,-5,98.4%,0.1%,0.5%
,October 2020,$277K,1.9%,9.9%,"71,823",1.0%,24.2%,"81,764",-6.8%,19.7%,"187,877",-1.3%,1.4%,37,0,-6,98.4%,0.0%,0.6%
,November 2020,$277K,0.1%,8.5%,"61,707",-14.1%,23.4%,"58,429",-28.5%,18.2%,"172,176",-8.4%,0.2%,36,0,-8,98.5%,0.0%,0.7%
,December 2020,$280K,1.1%,7.0%,"68,184",10.5%,26.3%,"47,833",-18.1%,34.3%,"146,505",-14.9%,-2.5%,43,6,-8,98.3%,-0.2%,0.7%
,January 2021,$276K,-1.3%,5.9%,"50,721",-25.6%,20.4%,"69,101",44.5%,3.6%,"140,997",-3.8%,-9.2%,46,3,-12,98.2%,-0.1%,0.7%
,February 2021,$278K,0.6%,7.2%,"55,876",10.2%,19.2%,"69,667",0.8%,-1.1%,"135,024",-4.2%,-15.6%,44,-2,-7,98.6%,0.4%,0.7%
,March 2021,$291K,4.7%,7.4%,"78,884",41.2%,39.3%,"89,385",28.3%,23.3%,"128,970",-4.5%,-22.8%,37,-7,-5,99.2%,0.6%,0.9%
,April 2021,$302K,3.6%,15.1%,"83,332",5.6%,94.0%,"92,382",3.4%,97.2%,"129,404",0.3%,-22.5%,29,-7,-5,99.8%,0.6%,1.5%
,May 2021,$300K,-0.4%,19.8%,"80,358",-3.6%,112.8%,"86,821",-6.0%,23.1%,"126,147",-2.5%,-27.9%,25,-4,-16,100.4%,0.6%,2.6%
,June 2021,$304K,1.1%,20.1%,"88,406",10.0%,58.7%,"91,526",5.4%,9.3%,"127,571",1.1%,-28.5%,23,-2,-20,100.7%,0.3%,2.8%
,July 2021,$301K,-0.8%,14.9%,"78,313",-11.4%,10.5%,"86,567",-5.4%,-6.5%,"131,686",3.2%,-28.6%,22,0,-16,100.5%,-0.1%,2.3%
,August 2021,$301K,0.1%,13.1%,"74,889",-4.4%,6.8%,"77,310",-10.7%,-11.5%,"123,611",-6.1%,-34.0%,24,2,-13,100.3%,-0.3%,1.9%
"Los Angeles, CA",January 2014,$401K,-6.7%,25.3%,308,-29.0%,-20.6%,549,94.7%,6.0%,993,7.0%,42.3%,40,13,16,99.7%,0.4%,-0.2%
,February 2014,$453K,13.0%,33.0%,319,3.6%,-8.3%,528,-3.8%,9.3%,994,0.1%,44.1%,37,-3,17,98.7%,-1.0%,-1.6%
,March 2014,$450K,-0.7%,28.9%,402,26.0%,-14.3%,631,19.5%,20.0%,"1,074",8.0%,54.1%,28,-9,9,99.0%,0.3%,-2.0%
,April 2014,$439K,-2.4%,15.6%,474,17.9%,4.4%,612,-3.0%,-10.8%,"1,086",1.1%,34.1%,24,-4,5,99.5%,0.5%,-1.1%
,May 2014,$443K,0.8%,8.8%,457,-3.6%,-13.8%,668,9.2%,5.2%,"1,120",3.1%,32.4%,25,1,10,99.2%,-0.3%,-1.3%
,June 2014,$430K,-2.9%,7.5%,466,2.0%,-1.1%,607,-9.1%,-5.0%,"1,209",7.9%,30.4%,22,-3,8,98.8%,-0.4%,-2.8%
,July 2014,$451K,4.9%,12.8%,449,-3.6%,-14.6%,569,-6.3%,-18.4%,"1,225",1.3%,18.9%,26,4,8,98.8%,0.0%,-2.1%
,August 2014,$463K,2.5%,15.0%,472,5.1%,-18.9%,615,8.1%,-11.6%,"1,255",2.4%,14.5%,25,-1,7,98.7%,-0.1%,-2.6%
,September 2014,$451K,-2.6%,9.3%,434,-8.1%,-2.9%,505,-17.9%,-14.6%,"1,226",-2.3%,3.5%,29,4,9,98.8%,0.1%,-1.6%
,October 2014,$470K,4.3%,13.3%,452,4.1%,2.5%,580,14.9%,5.6%,"1,232",0.5%,5.1%,35,6,14,98.7%,-0.1%,-1.4%
,November 2014,$455K,-3.2%,13.8%,352,-22.1%,-14.1%,386,-33.4%,0.3%,"1,141",-7.4%,6.3%,40,5,13,98.6%,-0.1%,-1.0%
,December 2014,$443K,-2.7%,2.9%,416,18.2%,-4.1%,265,-31.3%,-6.0%,948,-16.9%,2.2%,36,-4,9,98.6%,0.0%,-0.7%
,January 2015,$453K,2.4%,13.0%,335,-19.5%,8.8%,563,112.5%,2.6%,"1,011",6.6%,1.8%,48,12,8,98.2%,-0.4%,-1.5%
,February 2015,$430K,-5.1%,-5.1%,344,2.7%,7.8%,558,-0.9%,5.7%,"1,016",0.5%,2.2%,35,-13,-2,98.5%,0.4%,-0.1%
,March 2015,$469K,9.1%,4.2%,480,39.5%,19.4%,606,8.6%,-4.0%,"1,012",-0.4%,-5.8%,25,-10,-3,99.0%,0.5%,0.0%
,April 2015,$455K,-3.0%,3.6%,514,7.1%,8.4%,615,1.5%,0.5%,"1,024",1.2%,-5.7%,21,-4,-3,99.3%,0.3%,-0.2%
,May 2015,$458K,0.7%,3.4%,468,-8.9%,2.4%,579,-5.9%,-13.3%,972,-5.1%,-13.2%,28,7,3,99.5%,0.2%,0.3%
,June 2015,$495K,7.9%,15.0%,538,15.0%,15.5%,660,14.0%,8.7%,"1,063",9.4%,-12.1%,21,-7,-1,99.7%,0.3%,0.9%
,July 2015,$465K,-6.0%,3.1%,526,-2.2%,17.1%,627,-5.0%,10.2%,"1,128",6.1%,-7.9%,21,0,-5,99.8%,0.1%,1.0%
,August 2015,$460K,-1.1%,-0.5%,457,-13.1%,-3.2%,581,-7.3%,-5.5%,"1,076",-4.6%,-14.3%,24,3,-1,99.5%,-0.3%,0.8%
,September 2015,$465K,1.1%,3.2%,493,7.9%,13.6%,565,-2.8%,11.9%,"1,090",1.3%,-11.1%,28,4,-1,99.5%,0.0%,0.7%
,October 2015,$471K,1.2%,0.2%,448,-9.1%,-0.9%,506,-10.4%,-12.8%,"1,015",-6.9%,-17.6%,26,-2,-9,99.1%,-0.5%,0.4%
,November 2015,$490K,4.1%,7.7%,338,-24.6%,-4.0%,376,-25.7%,-2.6%,931,-8.3%,-18.4%,29,3,-11,99.4%,0.3%,0.8%
,December 2015,$490K,0.0%,10.7%,435,28.7%,4.6%,295,-21.5%,11.3%,819,-12.0%,-13.6%,32,3,-4,99.1%,-0.3%,0.5%
,January 2016,$470K,-4.1%,3.8%,331,-23.9%,-1.2%,524,77.6%,-6.9%,955,16.6%,-5.5%,38,6,-10,98.7%,-0.5%,0.5%
,February 2016,$513K,9.0%,19.2%,292,-11.8%,-15.1%,541,3.2%,-3.0%,994,4.1%,-2.2%,42,4,7,99.2%,0.5%,0.6%
,March 2016,$487K,-5.0%,3.8%,453,55.1%,-5.6%,587,8.5%,-3.1%,"1,013",1.9%,0.1%,31,-11,6,99.8%,0.6%,0.8%
,April 2016,$501K,2.8%,10.0%,440,-2.9%,-14.4%,594,1.2%,-3.4%,"1,034",2.1%,1.0%,26,-5,5,99.9%,0.2%,0.6%
,May 2016,$508K,1.4%,10.7%,471,7.0%,0.6%,656,10.4%,13.3%,"1,111",7.4%,14.3%,27,1,-1,99.8%,-0.2%,0.3%
,June 2016,$515K,1.5%,4.1%,526,11.7%,-2.2%,657,0.2%,-0.5%,"1,170",5.3%,10.1%,28,1,7,99.9%,0.1%,0.2%
,July 2016,$515K,0.0%,10.8%,479,-8.9%,-8.9%,655,-0.3%,4.5%,"1,262",7.9%,11.9%,27,-1,6,100.0%,0.1%,0.2%
,August 2016,$520K,1.0%,13.0%,481,0.4%,5.3%,669,2.1%,15.1%,"1,307",3.6%,21.5%,31,4,7,99.7%,-0.2%,0.2%
,September 2016,$499K,-4.1%,7.2%,501,4.2%,1.6%,641,-4.2%,13.5%,"1,294",-1.0%,18.7%,38,7,10,99.4%,-0.4%,-0.2%
,October 2016,$500K,0.3%,6.2%,509,1.6%,13.6%,520,-18.9%,2.8%,"1,249",-3.5%,23.1%,38,0,12,99.0%,-0.3%,0.0%
,November 2016,$505K,0.9%,3.0%,426,-16.3%,26.0%,386,-25.8%,2.7%,"1,155",-7.5%,24.1%,44,6,15,99.2%,0.2%,-0.2%
,December 2016,$486K,-3.7%,-0.8%,418,-1.9%,-3.9%,276,-28.5%,-6.4%,947,-18.0%,15.6%,48,4,16,99.0%,-0.2%,-0.2%
,January 2017,$458K,-5.8%,-2.6%,319,-23.7%,-3.6%,510,84.8%,-2.7%,998,5.4%,4.5%,43,-5,5,99.4%,0.4%,0.7%
,February 2017,$531K,15.8%,3.5%,362,13.5%,24.0%,464,-9.0%,-14.2%,980,-1.8%,-1.4%,46,3,4,99.7%,0.3%,0.5%
,March 2017,$530K,-0.1%,8.8%,502,38.7%,10.8%,605,30.4%,3.1%,"1,004",2.4%,-0.9%,30,-16,-1,99.6%,0.0%,-0.1%
,April 2017,$525K,-0.9%,4.9%,463,-7.8%,5.2%,594,-1.8%,0.0%,"1,030",2.6%,-0.4%,31,1,5,100.2%,0.5%,0.2%
,May 2017,$555K,5.7%,9.4%,510,10.2%,8.3%,658,10.8%,0.3%,"1,077",4.6%,-3.1%,27,-4,0,100.5%,0.3%,0.7%
,June 2017,$547K,-1.4%,6.3%,612,20.0%,16.3%,661,0.5%,0.6%,"1,118",3.8%,-4.4%,23,-4,-5,100.5%,0.0%,0.6%
,July 2017,$535K,-2.2%,3.9%,469,-23.4%,-2.1%,579,-12.4%,-11.6%,"1,106",-1.1%,-12.4%,30,7,3,100.4%,0.0%,0.5%
,August 2017,$515K,-3.7%,-1.0%,562,19.8%,16.8%,578,-0.2%,-13.6%,"1,049",-5.2%,-19.7%,34,4,3,100.5%,0.0%,0.7%
,September 2017,$550K,6.8%,10.3%,458,-18.5%,-8.6%,528,-8.7%,-17.6%,"1,010",-3.7%,-21.9%,32,-2,-6,100.0%,-0.4%,0.7%
,October 2017,$530K,-3.6%,6.0%,465,1.5%,-8.6%,490,-7.2%,-5.8%,941,-6.8%,-24.7%,28,-4,-10,100.4%,0.4%,1.4%
,November 2017,$600K,13.2%,18.9%,463,-0.4%,8.7%,356,-27.3%,-7.8%,823,-12.5%,-28.7%,32,4,-12,100.6%,0.2%,1.4%
,December 2017,$560K,-6.7%,15.2%,433,-6.5%,3.6%,219,-38.5%,-20.7%,620,-24.7%,-34.5%,41,9,-7,99.9%,-0.8%,0.9%
,January 2018,$525K,-6.3%,14.6%,317,-26.8%,-0.6%,489,123.3%,-4.1%,721,16.3%,-27.8%,39,-2,-4,99.7%,-0.2%,0.4%
,February 2018,$562K,7.0%,5.9%,283,-10.7%,-21.8%,476,-2.7%,2.6%,790,9.6%,-19.4%,34,-5,-12,100.6%,0.9%,0.9%
,March 2018,$585K,4.1%,10.4%,450,59.0%,-10.4%,540,13.4%,-10.7%,825,4.4%,-17.8%,27,-7,-3,101.0%,0.4%,1.4%
,April 2018,$565K,-3.4%,7.6%,411,-8.7%,-11.2%,592,9.6%,-0.3%,901,9.2%,-12.5%,28,1,-3,101.3%,0.3%,1.1%
,May 2018,$563K,-0.4%,1.4%,484,17.8%,-5.1%,588,-0.7%,-10.6%,944,4.8%,-12.3%,28,0,1,101.1%,-0.1%,0.6%
,June 2018,$585K,3.9%,6.9%,451,-6.8%,-26.3%,575,-2.2%,-13.0%,"1,012",7.2%,-9.5%,29,1,6,100.7%,-0.4%,0.3%
,July 2018,$595K,1.7%,11.2%,466,3.3%,-0.6%,618,7.5%,6.7%,"1,086",7.3%,-1.8%,29,0,-1,100.5%,-0.2%,0.1%
,August 2018,$600K,0.8%,16.5%,472,1.3%,-16.0%,552,-10.7%,-4.5%,"1,109",2.1%,5.7%,30,1,-4,100.4%,-0.1%,-0.1%
,September 2018,$553K,-7.9%,0.5%,384,-18.6%,-16.2%,567,2.7%,7.4%,"1,239",11.7%,22.7%,35,5,3,100.2%,-0.2%,0.1%
,October 2018,$582K,5.3%,9.8%,369,-3.9%,-20.6%,549,-3.2%,12.0%,"1,285",3.7%,36.6%,37,2,9,99.8%,-0.4%,-0.6%
,November 2018,$580K,-0.3%,-3.3%,371,0.5%,-19.9%,437,-20.4%,22.8%,"1,260",-1.9%,53.1%,36,-1,4,99.9%,0.1%,-0.7%
,December 2018,$562K,-3.1%,0.4%,317,-14.6%,-26.8%,215,-50.8%,-1.8%,"1,063",-15.6%,71.5%,45,9,4,99.2%,-0.8%,-0.7%
,January 2019,$575K,2.3%,9.5%,252,-20.5%,-20.5%,516,140.0%,5.5%,"1,173",10.3%,62.7%,54,9,15,98.5%,-0.7%,-1.2%
,February 2019,$536K,-6.8%,-4.6%,286,13.5%,1.1%,455,-11.8%,-4.4%,"1,309",11.6%,65.7%,57,3,23,99.1%,0.6%,-1.5%
