Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,September 2017,$268K,-0.8%,6.7%,"537,867",-14.9%,-3.1%,"594,464",-13.1%,-3.3%,"1,685,772",-1.2%,-8.5%,42,4,-4,98.3%,-0.2%,0.3%
,October 2017,$267K,-0.4%,6.6%,"529,281",-1.6%,4.8%,"579,018",-2.6%,6.8%,"1,614,976",-4.2%,-8.0%,44,2,-5,98.2%,-0.1%,0.3%
,November 2017,$269K,0.8%,6.1%,"497,801",-5.9%,4.0%,"462,590",-20.1%,3.9%,"1,488,084",-7.9%,-8.2%,46,2,-5,98.1%,-0.1%,0.3%
,December 2017,$270K,0.4%,6.8%,"501,829",0.8%,0.4%,"330,254",-28.6%,-1.0%,"1,307,785",-12.1%,-8.9%,50,4,-4,98.0%,-0.1%,0.3%
,January 2018,$263K,-2.7%,6.8%,"368,261",-26.6%,1.5%,"509,564",54.3%,0.2%,"1,295,113",-1.0%,-9.0%,54,4,-5,97.8%,-0.2%,0.3%
,February 2018,$267K,1.6%,8.5%,"379,719",3.1%,2.3%,"570,579",12.0%,-0.2%,"1,335,992",3.2%,-8.2%,53,-1,-6,98.1%,0.3%,0.4%
,March 2018,$276K,3.4%,7.8%,"523,026",37.7%,-2.5%,"736,684",29.1%,-4.3%,"1,394,345",4.4%,-8.9%,45,-8,-5,98.5%,0.4%,0.4%
,April 2018,$280K,1.4%,7.1%,"547,669",4.7%,5.5%,"780,739",6.0%,6.8%,"1,474,294",5.7%,-7.5%,36,-9,-5,98.8%,0.3%,0.3%
,May 2018,$286K,2.3%,6.8%,"637,069",16.3%,0.5%,"844,006",8.1%,4.5%,"1,579,766",7.2%,-4.5%,33,-4,-5,98.9%,0.1%,0.2%
,June 2018,$292K,1.9%,5.6%,"674,159",5.8%,-3.2%,"786,654",-6.8%,-0.2%,"1,654,562",4.7%,-3.4%,31,-2,-4,99.0%,0.0%,0.2%
,July 2018,$286K,-1.8%,5.4%,"626,396",-7.1%,5.3%,"723,480",-8.0%,4.6%,"1,677,600",1.4%,-2.7%,32,1,-4,98.8%,-0.2%,0.1%
,August 2018,$283K,-1.2%,4.7%,"643,128",2.7%,1.8%,"714,706",-1.2%,4.5%,"1,702,121",1.5%,-0.2%,36,4,-3,98.5%,-0.3%,0.0%
,September 2018,$277K,-2.1%,3.3%,"501,647",-22.0%,-6.7%,"606,975",-15.1%,2.1%,"1,722,037",1.2%,2.2%,39,3,-3,98.3%,-0.2%,0.0%
,October 2018,$277K,-0.1%,3.6%,"532,384",6.1%,0.6%,"609,696",0.4%,5.3%,"1,690,627",-1.8%,4.7%,43,4,-1,98.1%,-0.2%,-0.1%
,November 2018,$278K,0.4%,3.2%,"482,491",-9.4%,-3.1%,"468,083",-23.2%,1.2%,"1,588,159",-6.1%,6.7%,46,3,0,97.9%,-0.2%,-0.2%
,December 2018,$277K,-0.4%,2.4%,"447,695",-7.2%,-10.8%,"320,478",-31.5%,-3.0%,"1,416,354",-10.8%,8.3%,51,5,1,97.7%,-0.2%,-0.3%
,January 2019,$272K,-1.8%,3.3%,"338,329",-24.4%,-8.1%,"535,795",67.2%,5.1%,"1,431,275",1.1%,10.5%,57,6,3,97.5%,-0.2%,-0.3%
,February 2019,$275K,1.1%,2.8%,"376,961",11.4%,-0.7%,"548,608",2.4%,-3.9%,"1,449,674",1.3%,8.5%,59,2,5,97.8%,0.3%,-0.3%
,March 2019,$282K,2.8%,2.2%,"493,719",31.0%,-5.6%,"716,152",30.5%,-2.8%,"1,504,753",3.8%,7.9%,50,-9,4,98.1%,0.3%,-0.4%
,April 2019,$289K,2.3%,3.2%,"554,176",12.2%,1.2%,"787,880",10.0%,0.9%,"1,574,669",4.6%,6.8%,41,-8,5,98.4%,0.3%,-0.4%
,May 2019,$297K,2.9%,3.8%,"651,082",17.5%,2.2%,"841,561",6.8%,-0.3%,"1,670,427",6.1%,5.7%,37,-5,4,98.6%,0.2%,-0.3%
,June 2019,$302K,1.5%,3.4%,"628,840",-3.4%,-6.7%,"744,469",-11.5%,-5.4%,"1,711,305",2.4%,3.4%,35,-1,5,98.7%,0.1%,-0.3%
,July 2019,$299K,-0.9%,4.3%,"641,558",2.0%,2.4%,"712,000",-4.4%,-1.6%,"1,696,641",-0.9%,1.1%,36,1,4,98.6%,-0.1%,-0.2%
,August 2019,$295K,-1.3%,4.3%,"632,915",-1.3%,-1.6%,"679,376",-4.6%,-4.9%,"1,676,372",-1.2%,-1.5%,39,3,3,98.4%,-0.2%,-0.1%
,September 2019,$291K,-1.3%,5.1%,"536,718",-15.2%,7.0%,"626,318",-7.8%,3.2%,"1,668,186",-0.5%,-3.1%,41,3,2,98.3%,-0.1%,0.0%
,October 2019,$293K,0.6%,5.9%,"548,315",2.2%,3.0%,"611,197",-2.4%,0.2%,"1,616,294",-3.1%,-4.4%,44,2,0,98.2%,-0.1%,0.1%
,November 2019,$293K,0.0%,5.5%,"484,678",-11.6%,0.5%,"442,866",-27.5%,-5.4%,"1,477,874",-8.6%,-6.9%,45,2,-1,98.1%,-0.1%,0.2%
,December 2019,$295K,0.6%,6.5%,"516,208",6.5%,15.3%,"325,380",-26.5%,1.5%,"1,278,675",-13.5%,-9.7%,50,5,-1,98.0%,-0.1%,0.2%
,January 2020,$289K,-2.0%,6.3%,"381,743",-26.0%,12.8%,"533,679",64.0%,-0.4%,"1,271,702",-0.5%,-11.1%,56,6,-1,97.7%,-0.2%,0.3%
,February 2020,$293K,1.5%,6.7%,"409,881",7.4%,8.7%,"587,328",10.1%,7.1%,"1,287,925",1.3%,-11.2%,55,-1,-4,98.1%,0.4%,0.3%
,March 2020,$302K,3.1%,7.0%,"512,764",25.1%,3.9%,"668,785",13.9%,-6.6%,"1,342,422",4.2%,-10.8%,44,-12,-6,98.6%,0.5%,0.5%
,April 2020,$303K,0.2%,4.8%,"442,183",-13.8%,-20.2%,"476,977",-28.7%,-39.5%,"1,325,222",-1.3%,-15.8%,35,-9,-6,98.8%,0.2%,0.4%
,May 2020,$298K,-1.5%,0.3%,"427,856",-3.2%,-34.3%,"641,463",34.5%,-23.8%,"1,319,458",-0.4%,-21.0%,38,3,1,98.5%,-0.3%,-0.1%
,June 2020,$310K,4.0%,2.9%,"595,307",39.1%,-5.3%,"717,216",11.8%,-3.7%,"1,254,665",-4.9%,-26.7%,39,0,3,98.7%,0.2%,0.0%
,July 2020,$321K,3.6%,7.6%,"710,372",19.3%,10.7%,"761,792",6.2%,7.0%,"1,219,460",-2.8%,-28.1%,35,-4,-1,99.0%,0.3%,0.5%
,August 2020,$327K,1.8%,10.9%,"672,043",-5.4%,6.2%,"718,598",-5.7%,5.8%,"1,172,579",-3.8%,-30.1%,31,-4,-8,99.2%,0.2%,0.8%
,September 2020,$331K,1.1%,13.5%,"669,116",-0.4%,24.7%,"704,228",-2.0%,12.4%,"1,148,628",-2.0%,-31.1%,29,-2,-12,99.4%,0.2%,1.2%
,October 2020,$334K,1.1%,14.0%,"680,453",1.7%,24.1%,"688,183",-2.3%,12.6%,"1,113,749",-3.0%,-31.1%,29,-1,-15,99.5%,0.1%,1.3%
,November 2020,$333K,-0.4%,13.6%,"589,931",-13.3%,21.7%,"495,830",-28.0%,12.0%,"988,475",-11.2%,-33.1%,28,-1,-17,99.5%,0.0%,1.4%
,December 2020,$332K,-0.2%,12.7%,"635,242",7.7%,23.1%,"395,572",-20.2%,21.6%,"824,566",-16.6%,-35.5%,31,3,-20,99.4%,-0.2%,1.4%
,January 2021,$329K,-0.8%,14.1%,"435,843",-31.4%,14.2%,"497,223",25.7%,-6.8%,"766,035",-7.1%,-39.8%,34,4,-22,99.3%,0.0%,1.6%
,February 2021,$335K,1.8%,14.4%,"440,526",1.1%,7.5%,"505,778",1.7%,-13.9%,"716,849",-6.4%,-44.3%,33,-2,-23,99.8%,0.4%,1.7%
,March 2021,$352K,4.9%,16.5%,"592,384",34.5%,15.5%,"701,694",38.7%,4.9%,"708,161",-1.2%,-47.2%,26,-7,-18,100.6%,0.8%,2.0%
,April 2021,$368K,4.5%,21.5%,"625,352",5.6%,41.4%,"762,275",8.6%,59.8%,"761,411",7.5%,-42.5%,19,-7,-16,101.5%,1.0%,2.7%
,May 2021,$375K,2.0%,25.8%,"633,638",1.3%,48.1%,"742,507",-2.6%,15.8%,"777,091",2.1%,-41.1%,16,-3,-22,102.2%,0.7%,3.7%
,June 2021,$386K,2.8%,24.3%,"731,000",15.4%,22.8%,"805,450",8.5%,12.3%,"840,539",8.2%,-33.0%,15,-1,-24,102.5%,0.4%,3.8%
,July 2021,$384K,-0.5%,19.4%,"678,651",-7.2%,-4.5%,"782,551",-2.8%,2.7%,"917,633",9.2%,-24.8%,15,0,-20,102.3%,-0.3%,3.2%
,August 2021,$380K,-1.0%,16.2%,"661,415",-2.5%,-1.6%,"691,688",-11.6%,-3.7%,"867,032",-5.5%,-26.1%,16,1,-15,101.6%,-0.6%,2.4%
"Los Angeles, CA",January 2014,$450K,-4.3%,26.8%,"1,842",-22.6%,-10.2%,"2,929",75.2%,4.6%,"5,080",9.3%,26.8%,33,8,6,99.5%,-0.1%,0.0%
,February 2014,$465K,3.3%,20.8%,"1,716",-6.8%,-10.9%,"2,787",-4.8%,3.3%,"5,157",1.5%,30.1%,31,-2,10,99.3%,-0.2%,-0.5%
,March 2014,$495K,6.5%,19.3%,"2,094",22.0%,-14.8%,"3,301",18.4%,11.6%,"5,481",6.3%,43.6%,23,-8,5,99.8%,0.6%,-0.6%
,April 2014,$495K,0.0%,15.1%,"2,349",12.2%,-8.8%,"3,277",-0.7%,-6.6%,"5,572",1.7%,32.3%,22,-1,5,99.7%,-0.2%,-1.1%
,May 2014,$515K,4.0%,14.4%,"2,513",7.0%,-13.0%,"3,408",4.0%,0.7%,"5,714",2.5%,30.1%,21,-1,6,100.1%,0.4%,-0.9%
,June 2014,$505K,-1.9%,7.6%,"2,491",-0.9%,-7.1%,"3,244",-4.8%,-4.9%,"6,110",6.9%,24.5%,20,-1,5,99.9%,-0.2%,-1.7%
,July 2014,$520K,3.0%,10.6%,"2,594",4.1%,-2.6%,"3,340",3.0%,-9.4%,"6,597",8.0%,23.2%,21,1,6,99.8%,-0.1%,-1.5%
,August 2014,$525K,1.0%,12.9%,"2,351",-9.4%,-20.5%,"3,020",-9.6%,-12.0%,"6,614",0.3%,19.6%,24,3,7,99.2%,-0.6%,-1.5%
,September 2014,$505K,-3.8%,7.3%,"2,266",-3.6%,-4.2%,"2,932",-2.9%,-8.8%,"6,683",1.0%,13.1%,28,4,9,99.5%,0.2%,-1.3%
,October 2014,$525K,4.0%,12.7%,"2,461",8.6%,-4.5%,"3,081",5.1%,-1.9%,"6,528",-2.3%,11.1%,32,4,11,99.3%,-0.1%,-1.0%
,November 2014,$520K,-1.0%,14.3%,"1,969",-20.0%,-12.1%,"2,201",-28.6%,-1.8%,"6,038",-7.5%,13.3%,33,1,10,98.9%,-0.4%,-1.1%
,December 2014,$509K,-2.1%,8.3%,"2,351",19.4%,-1.2%,"1,575",-28.4%,-5.8%,"5,016",-16.9%,7.9%,35,2,10,98.9%,0.0%,-0.7%
,January 2015,$505K,-0.8%,12.2%,"1,685",-28.3%,-8.5%,"2,940",86.7%,0.4%,"5,354",6.7%,5.4%,41,6,8,98.7%,-0.3%,-0.8%
,February 2015,$510K,1.0%,9.7%,"1,719",2.0%,0.2%,"2,934",-0.2%,5.3%,"5,559",3.8%,7.8%,40,-1,9,98.9%,0.2%,-0.4%
,March 2015,$524K,2.6%,5.8%,"2,325",35.3%,11.0%,"3,310",12.8%,0.3%,"5,625",1.2%,2.6%,26,-14,3,99.5%,0.6%,-0.4%
,April 2015,$550K,5.1%,11.1%,"2,559",10.1%,8.9%,"3,376",2.0%,3.0%,"5,845",3.9%,4.9%,23,-3,1,99.8%,0.3%,0.1%
,May 2015,$539K,-2.0%,4.7%,"2,476",-3.2%,-1.5%,"3,227",-4.4%,-5.3%,"5,987",2.4%,4.8%,24,1,3,99.8%,0.0%,-0.2%
,June 2015,$551K,2.2%,9.1%,"2,745",10.9%,10.2%,"3,510",8.8%,8.2%,"6,306",5.3%,3.2%,21,-3,1,100.1%,0.3%,0.2%
,July 2015,$560K,1.6%,7.7%,"2,792",1.7%,7.6%,"3,464",-1.3%,3.7%,"6,428",1.9%,-2.6%,22,1,1,100.0%,-0.1%,0.2%
,August 2015,$565K,0.9%,7.6%,"2,570",-8.0%,9.3%,"3,239",-6.5%,7.3%,"6,491",1.0%,-1.9%,24,2,0,100.0%,-0.1%,0.7%
,September 2015,$539K,-4.7%,6.6%,"2,461",-4.2%,8.6%,"2,977",-8.1%,1.5%,"6,493",0.0%,-2.8%,26,2,-2,99.8%,-0.1%,0.4%
,October 2015,$550K,2.1%,4.8%,"2,424",-1.5%,-1.5%,"3,014",1.2%,-2.2%,"6,338",-2.4%,-2.9%,27,1,-5,99.7%,-0.1%,0.4%
,November 2015,$562K,2.2%,8.1%,"1,850",-23.7%,-6.0%,"2,280",-24.4%,3.6%,"5,952",-6.1%,-1.4%,31,4,-2,99.5%,-0.2%,0.5%
,December 2015,$560K,-0.4%,10.0%,"2,447",32.3%,4.1%,"1,666",-26.9%,5.8%,"5,038",-15.4%,0.4%,31,0,-4,99.3%,-0.2%,0.4%
,January 2016,$555K,-0.9%,9.9%,"1,759",-28.1%,4.4%,"2,728",63.7%,-7.2%,"5,623",11.6%,5.0%,39,8,-2,98.9%,-0.4%,0.2%
,February 2016,$575K,3.6%,12.7%,"1,709",-2.8%,-0.6%,"2,918",7.0%,-0.5%,"5,795",3.1%,4.2%,42,3,2,99.3%,0.4%,0.5%
,March 2016,$573K,-0.4%,9.4%,"2,371",38.7%,2.0%,"3,388",16.1%,2.4%,"5,988",3.3%,6.5%,33,-9,7,100.0%,0.6%,0.5%
,April 2016,$600K,4.8%,9.1%,"2,361",-0.4%,-7.7%,"3,339",-1.4%,-1.1%,"6,216",3.8%,6.3%,30,-3,7,100.0%,0.0%,0.2%
,May 2016,$600K,0.0%,11.3%,"2,528",7.1%,2.1%,"3,363",0.7%,4.2%,"6,427",3.4%,7.3%,31,1,7,99.9%,-0.1%,0.0%
,June 2016,$591K,-1.6%,7.2%,"2,752",8.9%,0.3%,"3,578",6.4%,1.9%,"6,831",6.3%,8.3%,30,-1,9,100.2%,0.3%,0.1%
,July 2016,$608K,3.0%,8.6%,"2,512",-8.7%,-10.0%,"3,412",-4.6%,-1.5%,"7,205",5.5%,12.1%,29,-1,7,99.9%,-0.3%,-0.1%
,August 2016,$610K,0.3%,8.0%,"2,588",3.0%,0.7%,"3,550",4.0%,9.6%,"7,532",4.5%,16.0%,33,4,9,99.9%,0.0%,0.0%
,September 2016,$600K,-1.6%,11.4%,"2,493",-3.7%,1.3%,"3,382",-4.7%,13.6%,"7,760",3.0%,19.5%,37,4,11,99.7%,-0.3%,-0.2%
,October 2016,$609K,1.5%,10.7%,"2,309",-7.4%,-4.7%,"2,875",-15.0%,-4.6%,"7,575",-2.4%,19.5%,37,0,10,99.3%,-0.4%,-0.4%
,November 2016,$615K,0.9%,9.3%,"2,220",-3.9%,20.0%,"2,207",-23.2%,-3.2%,"6,972",-8.0%,17.1%,41,4,10,99.3%,0.0%,-0.2%
,December 2016,$591K,-3.8%,5.6%,"2,328",4.9%,-4.9%,"1,471",-33.3%,-11.7%,"5,776",-17.2%,14.6%,47,6,16,99.1%,-0.2%,-0.2%
,January 2017,$618K,4.5%,11.3%,"1,826",-21.6%,3.8%,"2,551",73.4%,-6.5%,"5,874",1.7%,4.5%,52,5,13,99.3%,0.2%,0.4%
,February 2017,$615K,-0.4%,7.0%,"1,724",-5.6%,0.9%,"2,590",1.5%,-11.2%,"5,955",1.4%,2.8%,56,4,14,99.4%,0.1%,0.1%
,March 2017,$630K,2.4%,10.0%,"2,482",44.0%,4.7%,"3,606",39.2%,6.4%,"6,468",8.6%,8.0%,39,-17,6,99.6%,0.2%,-0.4%
,April 2017,$640K,1.6%,6.7%,"2,258",-9.0%,-4.4%,"3,242",-10.1%,-2.9%,"6,729",4.0%,8.3%,34,-5,4,100.5%,0.9%,0.5%
,May 2017,$670K,4.7%,11.7%,"2,677",18.6%,5.9%,"3,564",9.9%,6.0%,"6,881",2.3%,7.1%,34,0,3,100.3%,-0.1%,0.5%
,June 2017,$668K,-0.3%,13.1%,"3,038",13.5%,10.4%,"3,428",-3.8%,-4.2%,"6,980",1.4%,2.2%,33,-1,3,100.4%,0.0%,0.2%
,July 2017,$673K,0.7%,10.6%,"2,428",-20.1%,-3.3%,"3,155",-8.0%,-7.5%,"7,028",0.7%,-2.5%,34,1,5,100.4%,0.0%,0.5%
,August 2017,$650K,-3.3%,6.6%,"2,920",20.3%,12.8%,"3,164",0.3%,-10.9%,"6,875",-2.2%,-8.7%,36,2,3,100.1%,-0.3%,0.2%
,September 2017,$660K,1.5%,10.0%,"2,399",-17.8%,-3.8%,"2,906",-8.2%,-14.1%,"6,787",-1.3%,-12.5%,40,4,3,100.1%,0.0%,0.5%
,October 2017,$655K,-0.8%,7.6%,"2,417",0.8%,4.7%,"2,890",-0.6%,0.5%,"6,544",-3.6%,-13.6%,38,-2,1,100.1%,0.0%,0.8%
,November 2017,$665K,1.5%,8.2%,"2,323",-3.9%,4.6%,"2,234",-22.7%,1.2%,"5,905",-9.8%,-15.3%,38,0,-3,100.3%,0.3%,1.0%
,December 2017,$660K,-0.8%,11.6%,"2,302",-0.9%,-1.1%,"1,337",-40.2%,-9.1%,"4,759",-19.4%,-17.6%,42,4,-5,100.1%,-0.3%,1.0%
,January 2018,$639K,-3.1%,3.5%,"1,761",-23.5%,-3.6%,"2,720",103.4%,6.6%,"5,230",9.9%,-11.0%,45,3,-7,99.9%,-0.1%,0.6%
,February 2018,$690K,7.9%,12.2%,"1,663",-5.6%,-3.5%,"2,794",2.7%,7.9%,"5,532",5.8%,-7.1%,40,-5,-16,100.4%,0.5%,1.0%
,March 2018,$685K,-0.7%,8.7%,"2,388",43.6%,-3.8%,"3,117",11.6%,-13.6%,"5,766",4.2%,-10.9%,34,-6,-5,100.8%,0.3%,1.2%
,April 2018,$700K,2.2%,9.4%,"2,317",-3.0%,2.6%,"3,410",9.4%,5.2%,"6,304",9.3%,-6.3%,33,-1,-1,100.8%,0.1%,0.4%
,May 2018,$710K,1.4%,6.0%,"2,507",8.2%,-6.4%,"3,455",1.3%,-3.1%,"6,617",5.0%,-3.8%,31,-2,-3,100.8%,0.0%,0.5%
,June 2018,$730K,2.8%,9.3%,"2,639",5.3%,-13.1%,"3,288",-4.8%,-4.1%,"6,866",3.8%,-1.6%,33,2,0,100.7%,-0.1%,0.4%
,July 2018,$700K,-4.1%,4.1%,"2,448",-7.2%,0.8%,"3,303",0.5%,4.7%,"7,149",4.1%,1.7%,34,1,0,100.3%,-0.5%,-0.1%
,August 2018,$717K,2.4%,10.2%,"2,653",8.4%,-9.1%,"3,211",-2.8%,1.5%,"7,279",1.8%,5.9%,36,2,0,100.3%,0.0%,0.2%
