Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
,October 2015,$217K,0.6%,6.7%,"41,915",-4.2%,5.0%,"49,115",-6.5%,1.8%,"145,578",-2.8%,-5.0%,47,2,-6,97.9%,-0.2%,0.4%
,November 2015,$221K,1.9%,6.3%,"33,999",-18.9%,9.4%,"37,814",-23.0%,10.8%,"136,641",-6.1%,-5.0%,49,2,-6,97.8%,-0.1%,0.2%
,December 2015,$220K,-0.4%,4.4%,"43,170",27.0%,12.5%,"29,879",-21.0%,0.7%,"122,030",-10.7%,-7.4%,51,3,-7,97.8%,0.0%,0.3%
,January 2016,$206K,-6.4%,5.2%,"29,388",-31.9%,12.1%,"42,210",41.3%,-3.7%,"121,340",-0.6%,-8.1%,59,7,-9,97.7%,-0.2%,0.5%
,February 2016,$212K,3.2%,4.9%,"32,323",10.0%,14.0%,"50,128",18.8%,9.1%,"123,863",2.1%,-7.0%,60,1,-7,97.7%,0.1%,0.2%
,March 2016,$220K,3.5%,5.7%,"42,165",30.4%,6.7%,"66,716",33.1%,11.8%,"131,326",6.0%,-4.3%,53,-7,-5,98.2%,0.5%,0.4%
,April 2016,$226K,2.9%,6.8%,"46,014",9.1%,6.8%,"66,990",0.4%,-0.2%,"135,896",3.5%,-5.7%,41,-12,-7,98.5%,0.3%,0.3%
,May 2016,$233K,3.1%,5.5%,"51,956",12.9%,9.2%,"64,139",-4.3%,0.4%,"137,388",1.1%,-7.8%,35,-6,-3,98.6%,0.2%,0.3%
,June 2016,$233K,0.1%,3.2%,"58,278",12.2%,8.0%,"63,709",-0.7%,4.4%,"139,657",1.7%,-6.9%,33,-2,-4,98.7%,0.0%,0.3%
,July 2016,$232K,-0.7%,3.9%,"49,743",-14.6%,-4.4%,"57,663",-9.5%,-0.8%,"140,944",0.9%,-6.1%,35,2,-5,98.6%,0.0%,0.3%
,August 2016,$230K,-0.9%,4.5%,"52,854",6.3%,13.6%,"55,916",-3.0%,3.8%,"137,419",-2.5%,-7.8%,37,2,-4,98.6%,-0.1%,0.4%
,September 2016,$232K,1.0%,7.7%,"48,006",-9.2%,9.7%,"54,331",-2.8%,3.5%,"138,782",1.0%,-7.3%,40,3,-5,98.5%,-0.1%,0.3%
,October 2016,$231K,-0.4%,6.7%,"43,732",-8.9%,4.3%,"47,314",-12.9%,-3.7%,"132,587",-4.5%,-8.9%,42,3,-4,98.3%,-0.2%,0.4%
,November 2016,$233K,0.9%,5.6%,"41,924",-4.1%,23.3%,"38,981",-17.6%,3.1%,"122,391",-7.7%,-10.4%,44,1,-5,98.1%,-0.2%,0.3%
,December 2016,$237K,1.5%,7.7%,"44,747",6.7%,3.7%,"30,396",-22.0%,1.7%,"108,714",-11.2%,-10.9%,47,4,-4,98.1%,0.1%,0.3%
,January 2017,$224K,-5.3%,8.9%,"31,679",-29.2%,7.8%,"45,351",49.2%,7.4%,"107,788",-0.9%,-11.2%,51,4,-7,98.1%,0.0%,0.5%
,February 2017,$234K,4.3%,10.1%,"33,149",4.6%,2.6%,"52,165",15.0%,4.1%,"110,866",2.9%,-10.5%,50,-1,-9,98.3%,0.1%,0.6%
,March 2017,$242K,3.5%,10.1%,"48,347",45.8%,14.7%,"67,839",30.0%,1.7%,"115,491",4.2%,-12.1%,40,-10,-13,98.6%,0.3%,0.4%
,April 2017,$238K,-1.4%,5.6%,"46,408",-4.0%,0.9%,"63,978",-5.7%,-4.5%,"120,027",3.9%,-11.7%,33,-6,-7,98.9%,0.3%,0.4%
,May 2017,$241K,1.1%,3.5%,"55,880",20.4%,7.6%,"69,029",7.9%,7.6%,"123,312",2.7%,-10.2%,30,-4,-5,99.1%,0.2%,0.5%
,June 2017,$246K,2.2%,5.7%,"61,918",10.8%,6.2%,"68,353",-1.0%,7.3%,"127,628",3.5%,-8.6%,28,-2,-5,99.1%,0.0%,0.5%
,July 2017,$245K,-0.4%,5.9%,"52,390",-15.4%,5.3%,"59,264",-13.3%,2.8%,"127,418",-0.2%,-9.6%,30,2,-5,99.0%,-0.2%,0.3%
,August 2017,$242K,-1.5%,5.3%,"55,699",6.3%,5.4%,"58,548",-1.2%,4.7%,"125,114",-1.8%,-9.0%,31,1,-6,98.9%,-0.1%,0.3%
,September 2017,$243K,0.5%,4.8%,"47,937",-13.9%,-0.1%,"54,024",-7.7%,-0.6%,"125,534",0.3%,-9.5%,35,3,-5,98.8%,-0.1%,0.3%
,October 2017,$246K,1.2%,6.5%,"46,730",-2.5%,6.9%,"52,828",-2.2%,11.7%,"121,673",-3.1%,-8.2%,35,1,-7,98.7%,-0.1%,0.4%
,November 2017,$246K,0.1%,5.7%,"44,707",-4.3%,6.6%,"41,252",-21.9%,5.8%,"111,975",-8.0%,-8.5%,38,3,-6,98.6%,-0.1%,0.5%
,December 2017,$249K,1.1%,5.1%,"45,442",1.6%,1.6%,"29,944",-27.4%,-1.5%,"98,079",-12.4%,-9.8%,43,5,-4,98.6%,0.0%,0.5%
,January 2018,$242K,-2.8%,8.0%,"32,407",-28.7%,2.3%,"46,267",54.5%,2.0%,"97,360",-0.7%,-9.7%,44,1,-7,98.4%,-0.2%,0.3%
,February 2018,$242K,0.1%,3.6%,"33,703",4.0%,1.7%,"51,377",11.0%,-1.5%,"100,199",2.9%,-9.6%,44,0,-6,98.7%,0.3%,0.4%
,March 2018,$256K,5.7%,5.8%,"47,169",40.0%,-2.4%,"65,284",27.1%,-3.8%,"102,895",2.7%,-10.9%,35,-10,-5,99.0%,0.4%,0.4%
,April 2018,$258K,0.9%,8.2%,"50,536",7.1%,8.9%,"68,254",4.5%,6.7%,"107,382",4.4%,-10.5%,28,-7,-6,99.3%,0.3%,0.4%
,May 2018,$261K,1.1%,8.1%,"58,073",14.9%,3.9%,"71,201",4.3%,3.1%,"112,905",5.1%,-8.4%,26,-2,-4,99.4%,0.1%,0.3%
,June 2018,$259K,-0.5%,5.3%,"60,340",3.9%,-2.5%,"66,269",-6.9%,-3.0%,"117,088",3.7%,-8.3%,25,-1,-4,99.4%,0.0%,0.2%
,July 2018,$255K,-1.6%,4.1%,"55,010",-8.8%,5.0%,"61,822",-6.7%,4.3%,"118,729",1.4%,-6.8%,26,2,-4,99.2%,-0.2%,0.2%
,August 2018,$257K,0.7%,6.3%,"55,861",1.5%,0.3%,"63,223",2.3%,8.0%,"123,106",3.7%,-1.6%,29,2,-3,99.0%,-0.2%,0.1%
,September 2018,$253K,-1.7%,4.0%,"44,429",-20.5%,-7.3%,"57,164",-9.6%,5.8%,"130,445",6.0%,3.9%,32,3,-3,98.8%,-0.2%,0.0%
,October 2018,$249K,-1.4%,1.3%,"47,886",7.8%,2.5%,"56,739",-0.7%,7.4%,"130,443",0.0%,7.2%,37,5,1,98.5%,-0.3%,-0.2%
,November 2018,$250K,0.5%,1.7%,"45,154",-5.7%,1.0%,"42,560",-25.0%,3.2%,"123,051",-5.7%,9.9%,40,3,1,98.4%,-0.1%,-0.2%
,December 2018,$253K,0.9%,1.6%,"41,350",-8.4%,-9.0%,"29,036",-31.8%,-3.0%,"108,460",-11.9%,10.6%,44,4,0,98.3%,-0.2%,-0.4%
,January 2019,$247K,-2.1%,2.3%,"31,134",-24.7%,-3.9%,"49,783",71.5%,7.6%,"111,708",3.0%,14.7%,50,6,6,98.1%,-0.1%,-0.2%
,February 2019,$251K,1.6%,3.9%,"34,856",12.0%,3.4%,"50,791",2.0%,-1.1%,"113,852",1.9%,13.6%,50,1,6,98.2%,0.1%,-0.4%
,March 2019,$259K,3.1%,1.3%,"45,449",30.4%,-3.6%,"66,361",30.7%,1.7%,"118,167",3.8%,14.8%,41,-9,6,98.6%,0.4%,-0.4%
,April 2019,$266K,2.8%,3.3%,"51,435",13.2%,1.8%,"70,786",6.7%,3.7%,"122,731",3.9%,14.3%,34,-7,6,98.8%,0.2%,-0.5%
,May 2019,$268K,0.6%,2.8%,"59,833",16.3%,3.0%,"74,701",5.5%,4.9%,"130,260",6.1%,15.4%,31,-3,6,99.0%,0.2%,-0.4%
,June 2019,$268K,-0.1%,3.1%,"57,669",-3.6%,-4.4%,"66,087",-11.5%,-0.3%,"133,154",2.2%,13.7%,33,1,8,99.0%,0.0%,-0.4%
,July 2019,$267K,-0.1%,4.7%,"58,135",0.8%,5.7%,"63,560",-3.8%,2.8%,"130,655",-1.9%,10.0%,33,0,7,98.9%,-0.1%,-0.3%
,August 2019,$264K,-1.3%,2.6%,"56,957",-2.0%,2.0%,"62,607",-1.5%,-1.0%,"131,135",0.4%,6.5%,36,3,8,98.8%,-0.2%,-0.2%
,September 2019,$264K,-0.1%,4.4%,"49,940",-12.3%,12.4%,"59,498",-5.0%,4.1%,"133,854",2.1%,2.6%,37,1,5,98.7%,0.0%,-0.1%
,October 2019,$268K,1.7%,7.6%,"50,099",0.3%,4.6%,"58,785",-1.2%,3.6%,"132,263",-1.2%,1.4%,39,2,2,98.6%,-0.1%,0.1%
,November 2019,$269K,0.3%,7.5%,"45,029",-10.1%,-0.3%,"43,008",-26.8%,1.1%,"122,095",-7.7%,-0.8%,41,2,2,98.6%,0.0%,0.2%
,December 2019,$271K,0.8%,7.3%,"48,651",8.0%,17.7%,"31,000",-27.9%,6.8%,"103,953",-14.9%,-4.2%,45,4,1,98.5%,-0.1%,0.3%
,January 2020,$263K,-2.9%,6.4%,"37,087",-23.8%,19.1%,"52,105",68.1%,4.7%,"104,369",0.4%,-6.6%,51,6,1,98.3%,-0.3%,0.1%
,February 2020,$275K,4.5%,9.4%,"39,651",6.9%,13.8%,"57,074",9.5%,12.4%,"106,261",1.8%,-6.7%,47,-4,-3,98.5%,0.3%,0.3%
,March 2020,$285K,3.7%,10.0%,"49,859",25.7%,9.7%,"64,566",13.1%,-2.7%,"112,843",6.2%,-4.5%,38,-9,-4,99.1%,0.5%,0.5%
,April 2020,$280K,-1.9%,4.9%,"42,123",-15.5%,-18.1%,"43,559",-32.5%,-38.5%,"112,513",-0.3%,-8.3%,32,-5,-2,99.2%,0.2%,0.4%
,May 2020,$271K,-2.9%,1.3%,"39,463",-6.3%,-34.0%,"59,431",36.4%,-20.4%,"114,594",1.8%,-12.0%,36,3,4,98.9%,-0.3%,-0.1%
,June 2020,$284K,4.6%,6.0%,"53,872",36.5%,-6.6%,"69,823",17.5%,5.7%,"111,491",-2.7%,-16.3%,36,1,4,99.0%,0.1%,0.0%
,July 2020,$286K,0.8%,7.0%,"65,384",21.4%,12.5%,"73,702",5.6%,16.0%,"109,197",-2.1%,-16.4%,33,-4,0,99.3%,0.2%,0.4%
,August 2020,$289K,1.2%,9.7%,"63,924",-2.2%,12.2%,"70,734",-4.0%,13.0%,"105,162",-3.7%,-19.8%,29,-3,-7,99.4%,0.2%,0.7%
,September 2020,$295K,1.9%,11.9%,"64,618",1.1%,29.4%,"68,662",-2.9%,15.4%,"104,198",-0.9%,-22.2%,29,-1,-8,99.6%,0.1%,0.8%
,October 2020,$295K,0.1%,10.2%,"65,154",0.8%,30.1%,"68,666",0.0%,16.8%,"102,191",-1.9%,-22.7%,28,0,-11,99.6%,0.0%,1.0%
,November 2020,$296K,0.3%,10.1%,"57,729",-11.4%,28.2%,"48,864",-28.8%,13.6%,"90,208",-11.7%,-26.1%,27,-1,-15,99.6%,0.0%,1.0%
,December 2020,$295K,-0.3%,8.9%,"62,507",8.3%,28.5%,"40,006",-18.1%,29.0%,"74,747",-17.1%,-28.1%,31,4,-14,99.6%,0.0%,1.1%
,January 2021,$295K,0.1%,12.3%,"43,270",-30.8%,16.7%,"51,194",28.0%,-1.7%,"69,726",-6.7%,-33.2%,33,3,-18,99.5%,-0.1%,1.2%
,February 2021,$305K,3.3%,10.9%,"45,574",5.3%,14.9%,"52,561",2.7%,-7.9%,"64,861",-7.0%,-39.0%,30,-3,-17,99.9%,0.4%,1.3%
,March 2021,$318K,4.2%,11.5%,"59,224",30.0%,18.8%,"69,924",33.0%,8.3%,"62,678",-3.4%,-44.5%,23,-7,-15,100.6%,0.8%,1.6%
,April 2021,$326K,2.6%,16.6%,"62,923",6.2%,49.4%,"76,510",9.4%,75.6%,"68,192",8.8%,-39.4%,18,-5,-14,101.4%,0.7%,2.2%
,May 2021,$336K,3.0%,23.7%,"63,157",0.4%,60.0%,"71,916",-6.0%,21.0%,"67,411",-1.1%,-41.2%,15,-3,-20,101.9%,0.5%,3.0%
,June 2021,$335K,-0.3%,18.0%,"71,807",13.7%,33.3%,"77,059",7.2%,10.4%,"73,291",8.7%,-34.3%,14,-1,-22,102.2%,0.3%,3.1%
,July 2021,$337K,0.6%,17.8%,"65,550",-8.7%,0.3%,"76,458",-0.8%,3.7%,"82,721",12.9%,-24.2%,14,-1,-19,101.9%,-0.3%,2.6%
,August 2021,$332K,-1.5%,14.6%,"64,762",-1.2%,1.3%,"67,105",-12.2%,-5.1%,"77,159",-6.7%,-26.6%,16,2,-13,101.4%,-0.5%,1.9%
"Los Angeles, CA",January 2014,$360K,-4.0%,30.9%,111,-17.8%,16.8%,152,68.9%,31.0%,228,7.0%,132.7%,18,-1,3,98.9%,-1.2%,-1.6%
,February 2014,$374K,3.8%,20.5%,101,-9.0%,-2.9%,176,15.8%,53.0%,243,6.6%,127.1%,31,13,15,99.0%,0.2%,-1.7%
,March 2014,$370K,-1.1%,7.1%,132,30.7%,10.9%,207,17.6%,42.8%,296,21.8%,138.7%,18,-13,5,100.7%,1.7%,-0.1%
,April 2014,$390K,5.5%,8.3%,132,0.0%,16.8%,213,2.9%,20.3%,295,-0.3%,110.7%,12,-6,1,99.9%,-0.8%,-1.5%
,May 2014,$408K,4.6%,19.5%,164,24.2%,6.5%,200,-6.1%,9.3%,303,2.7%,104.7%,17,5,6,99.2%,-0.7%,-2.2%
,June 2014,$395K,-3.2%,-1.3%,155,-5.5%,-3.7%,190,-5.0%,-2.6%,317,4.6%,75.1%,18,1,7,99.4%,0.2%,-2.7%
,July 2014,$382K,-3.2%,1.9%,154,-0.6%,4.1%,212,11.6%,1.4%,349,10.1%,63.8%,24,6,14,99.2%,-0.2%,-1.7%
,August 2014,$407K,6.5%,16.3%,170,10.4%,-7.1%,187,-11.8%,3.9%,351,0.6%,58.1%,21,-3,9,99.2%,0.0%,-1.9%
,September 2014,$380K,-6.6%,1.9%,142,-16.5%,8.4%,163,-12.8%,-7.4%,341,-2.8%,34.8%,27,6,9,98.8%,-0.5%,-1.6%
,October 2014,$405K,6.6%,16.0%,148,4.2%,-0.7%,160,-1.8%,-13.5%,321,-5.9%,26.9%,31,4,14,99.8%,1.0%,-1.6%
,November 2014,$386K,-4.7%,5.8%,119,-19.6%,-16.8%,131,-18.1%,-11.5%,280,-12.8%,16.7%,33,2,18,98.7%,-1.1%,-2.7%
,December 2014,$395K,2.3%,5.3%,139,16.8%,3.0%,77,-41.2%,-14.4%,222,-20.7%,4.2%,34,1,15,99.0%,0.3%,-1.1%
,January 2015,$365K,-7.6%,1.4%,119,-14.4%,7.2%,163,111.7%,7.2%,223,0.5%,-2.2%,35,1,17,98.8%,-0.2%,0.0%
,February 2015,$417K,14.2%,11.6%,108,-9.2%,6.9%,150,-8.0%,-14.8%,213,-4.5%,-12.3%,36,1,5,99.3%,0.5%,0.3%
,March 2015,$429K,2.9%,16.1%,132,22.2%,0.0%,194,29.3%,-6.3%,232,8.9%,-21.6%,25,-11,7,99.2%,-0.1%,-1.5%
,April 2015,$390K,-9.1%,0.0%,158,19.7%,19.7%,192,-1.0%,-9.9%,250,7.8%,-15.3%,17,-8,5,99.4%,0.2%,-0.5%
,May 2015,$410K,5.1%,0.5%,134,-15.2%,-18.3%,184,-4.2%,-8.0%,242,-3.2%,-20.1%,19,2,2,99.6%,0.2%,0.4%
,June 2015,$412K,0.4%,4.2%,181,35.1%,16.8%,236,28.3%,24.2%,287,18.6%,-9.5%,19,0,1,99.8%,0.2%,0.4%
,July 2015,$438K,6.4%,14.6%,193,6.6%,25.3%,201,-14.8%,-5.2%,272,-5.2%,-22.1%,20,1,-4,100.0%,0.2%,0.8%
,August 2015,$445K,1.6%,9.3%,169,-12.4%,-0.6%,195,-3.0%,4.3%,261,-4.0%,-25.6%,22,2,1,100.3%,0.2%,1.0%
,September 2015,$412K,-7.4%,8.4%,179,5.9%,26.1%,186,-4.6%,14.1%,274,5.0%,-19.6%,20,-2,-7,99.7%,-0.6%,0.9%
,October 2015,$456K,10.7%,12.6%,187,4.5%,26.4%,215,15.6%,34.4%,283,3.3%,-11.8%,27,7,-4,99.3%,-0.4%,-0.5%
,November 2015,$435K,-4.6%,12.7%,115,-38.5%,-3.4%,138,-35.8%,5.3%,252,-11.0%,-10.0%,28,1,-5,99.2%,-0.1%,0.5%
,December 2015,$435K,0.1%,10.2%,164,42.6%,18.0%,97,-29.7%,26.0%,212,-15.9%,-4.5%,22,-6,-12,99.8%,0.5%,0.7%
,January 2016,$417K,-4.1%,14.3%,104,-36.6%,-12.6%,149,53.6%,-8.6%,257,21.2%,15.2%,28,6,-7,99.7%,-0.1%,0.9%
,February 2016,$431K,3.4%,3.4%,96,-7.7%,-11.1%,161,8.1%,7.3%,258,0.4%,21.1%,36,8,0,100.4%,0.7%,1.1%
,March 2016,$437K,1.2%,1.7%,147,53.1%,11.4%,210,30.4%,8.2%,271,5.0%,16.8%,35,-1,10,99.6%,-0.8%,0.4%
,April 2016,$447K,2.4%,14.6%,159,8.2%,0.6%,211,0.5%,9.9%,296,9.2%,18.4%,21,-14,4,100.6%,1.0%,1.1%
,May 2016,$423K,-5.5%,3.0%,176,10.7%,31.3%,219,3.8%,19.0%,302,2.0%,24.8%,33,12,14,100.3%,-0.2%,0.7%
,June 2016,$452K,7.0%,9.8%,193,9.7%,6.6%,208,-5.0%,-11.9%,317,5.0%,10.5%,26,-7,7,100.2%,-0.1%,0.4%
,July 2016,$448K,-1.0%,2.2%,172,-10.9%,-10.9%,208,0.0%,3.5%,346,9.1%,27.2%,33,7,13,100.4%,0.2%,0.4%
,August 2016,$455K,1.7%,2.2%,183,6.4%,8.3%,235,13.0%,20.5%,381,10.1%,46.0%,35,2,13,100.2%,-0.2%,-0.1%
,September 2016,$422K,-7.3%,2.4%,150,-18.0%,-16.2%,208,-11.5%,11.8%,403,5.8%,47.1%,38,3,18,99.7%,-0.4%,0.1%
,October 2016,$431K,2.1%,-5.5%,138,-8.0%,-26.2%,186,-10.6%,-13.5%,395,-2.0%,39.6%,35,-3,8,99.8%,0.1%,0.5%
,November 2016,$440K,2.1%,1.1%,147,6.5%,27.8%,137,-26.3%,-0.7%,371,-6.1%,47.2%,37,2,9,99.6%,-0.2%,0.4%
,December 2016,$443K,0.6%,1.7%,155,5.4%,-5.5%,83,-39.4%,-14.4%,292,-21.3%,37.7%,44,7,22,99.6%,0.0%,-0.2%
,January 2017,$480K,8.5%,15.0%,122,-21.3%,17.3%,168,102.4%,12.8%,306,4.8%,19.1%,52,8,24,99.4%,-0.2%,-0.3%
,February 2017,$446K,-7.2%,3.3%,120,-1.6%,25.0%,163,-3.0%,1.2%,300,-2.0%,16.3%,52,0,16,99.3%,-0.1%,-1.1%
,March 2017,$476K,6.7%,8.9%,191,59.2%,29.9%,229,40.5%,9.0%,331,10.3%,22.1%,44,-8,9,99.6%,0.4%,0.1%
,April 2017,$479K,0.7%,7.2%,152,-20.4%,-4.4%,179,-21.8%,-15.2%,327,-1.2%,10.5%,36,-8,15,100.7%,1.1%,0.2%
,May 2017,$500K,4.4%,18.3%,169,11.2%,-4.0%,268,49.7%,22.4%,394,20.5%,30.5%,34,-2,1,100.6%,-0.1%,0.3%
,June 2017,$515K,3.0%,13.9%,217,28.4%,12.4%,224,-16.4%,7.7%,368,-6.6%,16.1%,36,2,10,100.7%,0.1%,0.5%
,July 2017,$508K,-1.4%,13.5%,191,-12.0%,11.0%,207,-7.6%,-0.5%,358,-2.7%,3.5%,30,-6,-3,101.1%,0.4%,0.7%
,August 2017,$461K,-9.3%,1.3%,210,9.9%,14.8%,189,-8.7%,-19.6%,350,-2.2%,-8.1%,31,1,-4,101.1%,-0.1%,0.9%
,September 2017,$469K,1.7%,11.1%,167,-20.5%,11.3%,172,-9.0%,-17.3%,322,-8.0%,-20.1%,40,9,2,100.0%,-1.0%,0.3%
,October 2017,$500K,6.6%,16.0%,150,-10.2%,8.7%,162,-5.8%,-12.9%,305,-5.3%,-22.8%,36,-4,1,100.8%,0.8%,1.0%
,November 2017,$477K,-4.6%,8.4%,152,1.3%,3.4%,144,-11.1%,5.1%,281,-7.9%,-24.3%,40,4,3,100.0%,-0.8%,0.4%
,December 2017,$520K,9.1%,17.5%,129,-15.1%,-16.8%,80,-44.4%,-3.6%,220,-21.7%,-24.7%,42,2,-2,99.9%,-0.1%,0.3%
,January 2018,$485K,-6.8%,1.0%,112,-13.2%,-8.2%,167,108.8%,-0.6%,254,15.5%,-17.0%,38,-4,-14,100.6%,0.7%,1.2%
,February 2018,$448K,-7.5%,0.6%,105,-6.3%,-12.5%,183,9.6%,12.3%,266,4.7%,-11.3%,33,-5,-19,100.3%,-0.3%,1.0%
,March 2018,$525K,17.2%,10.4%,145,38.1%,-24.1%,199,8.7%,-13.1%,267,0.4%,-19.3%,34,1,-10,100.8%,0.4%,1.1%
,April 2018,$520K,-1.0%,8.6%,191,31.7%,25.7%,223,12.1%,24.6%,319,19.5%,-2.4%,34,0,-2,102.2%,1.4%,1.4%
,May 2018,$510K,-1.9%,2.0%,165,-13.6%,-2.4%,232,4.0%,-13.4%,348,9.1%,-11.7%,22,-12,-12,101.5%,-0.6%,0.9%
,June 2018,$533K,4.5%,3.4%,192,16.4%,-11.5%,209,-9.9%,-6.7%,370,6.3%,0.5%,30,8,-6,101.3%,-0.3%,0.6%
,July 2018,$525K,-1.5%,3.3%,176,-8.3%,-7.9%,201,-3.8%,-2.9%,377,1.9%,5.3%,36,6,6,100.7%,-0.6%,-0.4%
,August 2018,$515K,-1.9%,11.7%,181,2.8%,-13.8%,227,12.9%,20.1%,401,6.4%,14.6%,35,-1,4,101.0%,0.3%,-0.1%
,September 2018,$535K,3.9%,14.1%,135,-25.4%,-19.2%,190,-16.3%,10.5%,432,7.7%,34.2%,29,-6,-11,100.4%,-0.6%,0.4%
,October 2018,$533K,-0.5%,6.5%,150,11.1%,0.0%,190,0.0%,17.3%,426,-1.4%,39.7%,37,8,1,99.0%,-1.3%,-1.8%
,November 2018,$468K,-12.2%,-2.0%,108,-28.0%,-28.9%,139,-26.8%,-3.5%,408,-4.2%,45.2%,36,-1,-4,99.5%,0.5%,-0.6%
,December 2018,$492K,5.2%,-5.4%,133,23.1%,3.1%,49,-64.7%,-38.8%,306,-25.0%,39.1%,51,15,9,99.7%,0.2%,-0.3%
,January 2019,$500K,1.6%,3.2%,95,-28.6%,-15.2%,187,281.6%,12.0%,353,15.4%,39.0%,43,-8,5,99.1%,-0.6%,-1.5%
,February 2019,$494K,-1.2%,10.3%,110,15.8%,4.8%,154,-17.6%,-15.8%,390,10.5%,46.6%,52,9,19,99.8%,0.7%,-0.5%
,March 2019,$513K,3.8%,-2.3%,123,11.8%,-15.2%,208,35.1%,4.5%,428,9.7%,60.3%,51,-1,17,99.6%,-0.2%,-1.2%
,April 2019,$513K,-0.1%,-1.4%,162,31.7%,-15.2%,198,-4.8%,-11.2%,440,2.8%,37.9%,47,-4,13,99.2%,-0.4%,-3.0%
